runNum, eventNum, m1_pt, m1_eta, m1_phi, m1_m, m2_pt, m2_eta, m2_phi, m2_m, 4_vector_m1, 4_vector_m2, invariant_mass
142110,6,236.36,0.421681,-3.04539,0.1,197.347,-0.439855,0.157415,0.1,[8.59552702938242e-07 -235.267093233123 -22.703401543315316 102.64865116732116],[7.229915300869632e-07 194.90696657320927 30.937239537972435 -89.63029861687913],472.46395655508036
142110,7,247.528,0.0783827,1.45622,0.1,201.267,1.14188,-1.66336,0.1,[8.282022781502253e-07 28.29883745300361 245.90503570038672 19.421786135764172],[1.158714369502801e-06 -18.603420447124165 -200.40538425069204 283.1256995621957],510.993897312322
142110,15,242.08,-0.376919,-0.296933,0.1,235.937,-0.391599,2.81797,0.1,[8.655336838168407e-07 231.4861809786242 -70.82989775463226 -93.42043779887618],[8.481194954484661e-07 -223.68942213668916 75.02873045143488 -94.77226533409676],477.94788567880454
142110,18,268.87,0.459095,-1.28643,0.1,232.251,0.620778,1.86425,0.1,[9.93039730916806e-07 75.43128572357463 -258.07207914473906 127.8188931552436],[9.288341150464979e-07 -67.18091829703954 222.3224037693154 153.61647495837835],501.4101672654924
142131,2,254.449,-0.210391,-2.87384,0.1,210.641,0.122309,0.20302,0.1,[8.676046665368873e-07 -245.38244778833592 -67.31825843264667 -53.92959443240379],[7.078848186722635e-07 206.3148821204865 42.47117018178048 25.82757241811432],469.20430417531065
142131,3,259.156,0.265261,-2.99848,0.1,251.437,-0.727454,0.106508,0.1,[8.950430447203713e-07 -256.5066095023038 -36.962029403601 69.55299740765628],[1.0705806761506844e-06 250.0122027781622 26.729448759956043 -199.47335483347564],574.6509846032926
142168,1,243.662,0.529285,0.00260906,0.1,253.819,0.303345,3.09568,0.1,[9.292973062087442e-07 243.66117067320806 0.635728056465383 135.07305912851558],[8.859022904706868e-07 -253.55152534867148 11.64941004351712 78.18098850158209],500.4090995645443
142168,4,247.061,0.513147,-2.81158,0.1,220.243,0.00985925,0.313281,0.1,[9.350105711045669e-07 -233.72915438966993 -80.06135215751627 132.41621335132305],[7.346873520325475e-07 209.52323323852602 67.87483909575198 2.171465976840869],481.36771821797026
142168,11,274.493,-0.292601,2.03764,0.1,214.152,-0.123474,-1.06692,0.1,[9.550857284972573e-07 -123.54105167992984 245.12041040847026 -81.46790255107031],[7.197864884137944e-07 103.39766635332369 -187.53666760579583 -26.509444169562787],486.5570646652215
142168,14,217.333,0.0985844,-0.30717,0.1,213.331,-0.455659,2.83482,0.1,[7.284706129213489e-07 207.16030972243288 -65.71330888568677 21.460365830940123],[7.86755283924702e-07 -203.3712451354514 64.42245115684537 -100.60502432965643],447.2875547909533
142168,20,248.647,-0.82175,0.143209,0.1,183.315,0.139822,-3.00717,0.1,[1.1255492734767264e-06 246.10162668599463 35.48689830778864 -228.11063730422057],[6.17460062908315e-07 -181.66129178963362 -24.567545467986537 25.715068298090358],477.2980169381735
142168,23,242.352,0.660138,0.152108,0.1,223.527,-0.183341,-2.91767,0.1,[9.910326166298258e-07 239.55377126101914 36.72169084646454 171.8614173328432],[7.581723981343814e-07 -217.94640349318794 -49.635520883582025 -41.211642300842016],507.23835348032344
142168,27,234.085,-0.270406,0.965918,0.1,227.698,-0.24499,-2.37785,0.1,[8.09544623713602e-07 133.11524323596274 192.5516015078308 -64.07219879394215],[7.824262734831701e-07 -164.45546019461466 -157.48263655456597 -56.34343425520333],459.4191661864193
142168,29,213.994,-0.123463,-1.89567,0.1,204.708,0.920827,1.33343,0.1,[7.192544626548285e-07 -68.30454576651601 -202.80019986092202 -26.48751376917997],[9.933696031861597e-07 48.135779795902536 198.96811796727732 216.29210118967904],476.6182388654516
